2017-11-15 01:07:50 UTC+1 DEBUG > u-qhJukoQyWF2fb_AAAB {"data":"herro from client"}
2017-11-15 01:09:10 UTC+1  INFO > u-qhJukoQyWF2fb_AAAB disconnected
2017-11-15 01:09:15 UTC+1  INFO > hQNR59RwNdHXHs1lAAAC connected
2017-11-15 01:09:15 UTC+1 DEBUG > hQNR59RwNdHXHs1lAAAC {"data":"herro from client"}
2017-11-15 01:09:30 UTC+1  INFO development mode
2017-11-15 01:09:30 UTC+1  INFO server listening to port 8080
2017-11-15 01:09:31 UTC+1  INFO > kuHAMEAQKL9QYNjqAAAA connected
2017-11-15 01:09:36 UTC+1  INFO > t4pww5EMPRfBfrJjAAAB connected
2017-11-15 01:09:36 UTC+1 DEBUG > t4pww5EMPRfBfrJjAAAB {"data":"herro from client"}
2017-11-15 01:10:03 UTC+1  INFO > t4pww5EMPRfBfrJjAAAB disconnected
2017-11-15 01:10:03 UTC+1  INFO > 9usd9-4L_eEBGae5AAAC connected
2017-11-15 01:10:04 UTC+1 DEBUG > 9usd9-4L_eEBGae5AAAC {"data":"herro from client"}
2017-11-15 01:10:56 UTC+1  INFO > kuHAMEAQKL9QYNjqAAAA disconnected
2017-11-15 01:13:46 UTC+1  INFO > 9usd9-4L_eEBGae5AAAC disconnected
2017-11-15 01:13:47 UTC+1  INFO > xIJ74eaLm1e3Ez7mAAAD connected
2017-11-15 01:13:47 UTC+1 DEBUG > xIJ74eaLm1e3Ez7mAAAD {"data":"herro from client"}
2017-11-15 01:14:29 UTC+1  INFO development mode
2017-11-15 01:14:30 UTC+1  INFO server listening to port 8080
2017-11-15 01:14:31 UTC+1  INFO > NmUeP1a7mH1eV917AAAA connected
2017-11-15 01:14:36 UTC+1  INFO > TmiH_G2s2CqzELbOAAAB connected
2017-11-15 01:14:36 UTC+1 DEBUG > TmiH_G2s2CqzELbOAAAB {"data":"herro from client"}
2017-11-15 01:14:47 UTC+1  INFO development mode
2017-11-15 01:14:47 UTC+1  INFO server listening to port 8080
2017-11-15 01:14:48 UTC+1  INFO > BUkmDu2AuF9g-Y6wAAAA connected
2017-11-15 01:14:52 UTC+1  INFO > eYyR_CNgSX3X-JGCAAAB connected
2017-11-15 01:14:53 UTC+1 DEBUG > eYyR_CNgSX3X-JGCAAAB {"data":"herro from client"}
2017-11-15 01:14:53 UTC+1 DEBUG < test
2017-11-15 01:16:13 UTC+1  INFO > BUkmDu2AuF9g-Y6wAAAA disconnected
2017-11-15 01:16:24 UTC+1  INFO > eYyR_CNgSX3X-JGCAAAB disconnected
2017-11-15 01:16:25 UTC+1  INFO > 4ZMu3rIPIZOm7QVIAAAC connected
2017-11-15 01:16:25 UTC+1 DEBUG > 4ZMu3rIPIZOm7QVIAAAC {"data":"herro from client"}
2017-11-15 01:16:25 UTC+1 DEBUG < test
2017-11-15 01:16:37 UTC+1  INFO development mode
2017-11-15 01:16:37 UTC+1  INFO server listening to port 8080
2017-11-15 01:16:38 UTC+1  INFO > fm_J39bhQjlclG33AAAA connected
